Id,Name,FIGI,Ticker
97,Сбер - Консервативный смарт фонд,BBG011C8J9N0,SBCS
98,ДОХОДЪ Индекс дивидендных акций РФ,BBG00YZ50N04,DIVD
99,FinEx Акции российских компаний,BBG0073DLHS1,FXRL
100,FinEx Акции американских компаний,BBG005HLSZ23,FXUS
101,Сбер - Осторожный смарт фонд,BBG011C8HRT6,SBRS
102,БКС Империя,BBG0109Y5S70,RU000A0JVHY6
103,ITI Funds Еврооблигации рос. эмитентов (USD),BBG00KMXH2C2,RUSB
104,БКС Облигации повышенной доходности МСП,BBG00ZNH2WL3,BCSB
105,Газпромбанк - Корпоративные облигации 4 года,BBG00PSSGFC8,GPBM
106,FinEx Акции казахстанских компаний,BBG00M8C8Y03,FXKZ
107,ДОХОДЪ Индекс акций роста РФ,BBG011FJLSL0,GROD
108,Альфа-Капитал Китайские Акции,BBG00YM3BX27,AKCH
109,Сбер Блокчейн Экономика,TCS00A104B87,SBBE
110,ЗПИФ ПАРУС-Сберлог,TCS00A104172,RU000A104172
111,ВТБ Корп еврооблигации РФ,BBG00RPRPBY4,VTBU
112,ВТБ - Фонд Акций развивающихся стран,BBG00PVNWQ15,VTBE
113,FinEx Золото,BBG005DXDPK9,FXGD
114,Тинькофф iMOEX,BBG333333333,TMOS
115,American Homes 4 Rent REIT,BBG003NXJNH6,AMH
116,КуйбышевАзот,BBG002B9MYC1,KAZT
117,Warby Parker,BBG005DWN8K8,WRBY
118,Valvoline,BBG003DNHV56,VVV
119,TG Therapeutics,BBG000FVZQY1,TGTX
120,Apollo Medical Holdings,BBG000H7ZK57,AMEH
121,Elastic NV,BBG00LWZDYB9,ESTC
122,Asana,BBG00WYHL732,ASAN
123,Mimecast Limited,BBG00B6W26V8,MIME
124,ChargePoint Holdings,BBG00Q741Z16,CHPT
125,Skyline Champion,BBG000BT2TP0,SKY
126,2seventy bio,BBG00YV1J622,TSVT
127,Atea Pharmaceuticals,BBG00TZNCJ75,AVIR
128,Upstart Holdings,BBG00PKCBY53,UPST
129,Ренессанс Страхование,BBG00QKJSX05,RENI
130,EchoStar Corporation,BBG000TGLV00,SATS
131,СПБ Биржа,BBG002GHV6L9,SPBE
132,BeyondSpring,BBG00F9YLST6,BYSI
133,AbCellera Biologics,BBG00LLW2MF2,ABCL
134,Clearway Energy,BBG008LJ4TF3,CWEN
135,ЯТЭК,BBG002B298N6,YAKG
136,AZEK Company,BBG00RPJPN67,AZEK
137,Globant SA,BBG00564Y443,GLOB
138,Camden Property REIT,BBG000BB0V03,CPT
139,CyberArk Software Ltd,BBG006Q52QV2,CYBR
140,Magna International Inc.,BBG000BNLPJ7,MGA
141,Lucid Group,BBG00W7F99V5,LCID
142,CACI International,BBG000KQY8Y7,CACI
143,Overstock.com,BBG000BF7BV7,OSTK
144,Dun & Bradstreet Holdings,BBG00VCZX9Z6,DNB
145,Marathon Digital Holdings,BBG001K7WBT8,MARA
146,QIAGEN NV,BBG000GTYWL7,QGEN
147,Alight,BBG00H00J2N1,ALIT
148,Olin Corp,BBG000BQHTV3,OLN
149,Alcon,BBG00NPWH832,ALC
150,Arrival,BBG00YFSF9D7,ARVL
151,АДР Циан,BBG012YQ6P43,CIAN
152,Pacific Biosciences of California,BBG000QKXH20,PACB
153,Stellantis N.V.,BBG0078ZLDG9,STLA
154,Berkeley Lights,BBG00HJ8K617,BLI
155,Beam Therapeutics,BBG00KXC8646,BEAM
156,GitLab,BBG00DHTYPH8,GTLB
157,Toast,BBG00BTJVK94,TOST
158,Nexters Inc,BBG00Z5KBW72,GDEV
159,Лента,BBG0063FKTD9,LENT
160,FIGS,BBG004SK5VL9,FIGS
161,ZIM Integrated Shipping Services,BBG00YQ7XR05,ZIM
162,Riskified,BBG011P2TCH8,RSKD
163,MP Materials,BBG00TJGL0F0,MP
164,Thomson Reuters Corporation,BBG000BBS9F6,TRI
165,Life Storage REIT,BBG000C42VL3,LSI
166,Cerence,BBG00MMDJG84,CRNC
167,ГДР Softline,BBG0136BTL03,SFTL
168,Kyndryl Holdings,BBG012W99DN6,KD
169,Wix.com Ltd,BBG005CM7J89,WIX
170,JFrog Ltd.,BBG006PWZX16,FROG
171,Pan American Silver Corp,BBG000C0RGY3,PAAS
172,nCino,BBG014GJ8XH2,NCNO
173,DLocal,BBG00XGCHFV7,DLO
174,Fulcrum Therapeutics,BBG00DDY1RK9,FULC
175,eXp World Holdings,BBG001DCTG63,EXPI
176,SAP SE,BBG000BG7GX2,SAP@DE
177,Royal Bank of Canada,BBG000BSSC44,RY
178,SouthState Corp,BBG000BNPYN9,SSB
179,TaskUs,BBG009CL6VK3,TASK
180,Vitesco Technologies Group AG,BBG00ZVC67K7,VTSC@DE
181,New York Community Bancorp,BBG000BVXPZ8,NYCB
182,Envista Holdings,BBG00LN4B5N0,NVST
183,WP Carey REIT,BBG000BCQM58,WPC
184,Riot Blockchain,BBG000BQ4512,RIOT
185,Oak Street Health,BBG00W0L8GW3,OSH
186,Positive Technologies,TCS00A103X66,POSI
187,RenaissanceRe Holdings,BBG000BFVZ83,RNR
188,The Beauty Health Company,BBG00XKM1DC3,SKIN
189,Sprout Social,BBG001K1CT23,SPT
190,Arch Capital Group,BBG000HXNN20,ACGL
191,Consensus Cloud Solutions,BBG0105XBRH0,CCSI
192,Maravai LifeSciences Holdings,BBG00Y1DFV91,MRVI
193,OneMain Holdings,BBG005497GZ3,OMF
194,Sylvamo Corp.,BBG0122M8031,SLVM
195,Sangamo Therapeutics,BBG000BHYT80,SGMO
196,TPG,BBG0145FSNR1,TPG
197,ГДР Kaspi.kz JSC,BBG00XV2T033,KSPI@GS
198,Snowflake Inc,BBG007DHGNJ4,SNOW
199,Rivian Automotive,BBG00741Y1N2,RIVN
200,Graphic Packaging Holding Company,BBG000GQ7K93,GPK
201,Rocket Lab,BBG00Y61SZL5,RKLB
202,Lithium Americas Corp.,BBG000BGM5P8,LAC
203,GoPro,BBG001LWHLJ8,GPRO
204,Voya Financial,BBG000BCWKD6,VOYA
205,PennyMac Financial Services,BBG00LMYX123,PFSI
206,Orion Office REIT,BBG0118JXCD9,ONL
207,SelectQuote,BBG000GTP1B6,SLQT
208,Bentley Systems,BBG000BMSRR9,BSY
209,Confluent,BBG007HWGYQ5,CFLT
